date,pred,n_ret,port_num
2022-07-17,100.0,100.0,1
2022-07-24,123.77029539498406,103.55626638061291,1
2022-07-31,153.5571778093261,108.61111022762739,1
2022-08-07,190.87503960847437,114.98765331118916,1
2022-08-14,236.7684157580286,114.66742308304623,1
2022-08-21,292.2060874862312,121.29471223565037,1
2022-08-28,362.4958456144018,138.02314722978502,1
2022-09-04,451.3782252579624,143.88160967481,1
2022-07-17,100.0,100.0,2
2022-07-24,124.21641066076626,108.36687886353873,2
2022-07-31,152.78929605572813,108.22169365858048,2
2022-08-07,187.77030593521042,113.60972463537196,2
2022-08-14,231.00458691240715,118.1011098523211,2
2022-08-21,286.51307902805627,120.76391691725483,2
2022-08-28,355.8467125258379,127.52454408833536,2
2022-09-04,433.47961912473164,136.91201785115092,2
2022-07-17,100.0,100.0,3
2022-07-24,123.01486389592074,110.01807658609421,3
2022-07-31,152.68259300704804,110.87446434694763,3
2022-08-07,189.4471516746397,116.32912057372151,3
2022-08-14,232.5966509544449,121.25078872620895,3
2022-08-21,282.3033251937511,127.31430190386199,3
2022-08-28,336.7525400417523,127.09299511768515,3
2022-09-04,414.0475213971385,149.14043392080703,3
2022-07-17,100.0,100.0,4
2022-07-24,120.43660777309715,103.70123590023614,4
2022-07-31,146.2284110510572,103.5296555319321,4
2022-08-07,177.36233121280247,115.93945155147851,4
2022-08-14,215.1250656909358,114.37474945333763,4
2022-08-21,261.92336092246353,118.00522870032157,4
2022-08-28,322.7135550813056,129.57762563070827,4
2022-09-04,391.8651222873238,140.4459800824847,4
2022-07-17,100.0,100.0,5
2022-07-24,119.61761326265545,106.195485907637,5
2022-07-31,144.1892425867622,113.72668842119438,5
2022-08-07,172.4757305637853,116.83088996923156,5
2022-08-14,205.67647544427223,117.70821605650383,5
2022-08-21,245.26820331706793,102.35497048391638,5
2022-08-28,293.3839709000738,104.95107154709405,5
2022-09-04,358.40446666171664,109.29935760028428,5
2022-07-17,100.0,100.0,6
2022-07-24,128.26898384284956,105.55632636870753,6
2022-07-31,164.2380795454677,103.79113817056978,6
2022-08-07,210.98089713615528,110.62395897286632,6
2022-08-14,271.3831177697325,109.88609920366873,6
2022-08-21,349.1289768619533,112.76434275446753,6
2022-08-28,449.14747640307667,121.08220420704828,6
2022-09-04,579.0515534123621,123.27453856164627,6
2022-07-17,100.0,100.0,7
2022-07-24,128.41857821673614,111.68065659376694,7
2022-07-31,165.72682400779954,115.74247968961689,7
2022-08-07,213.67063088703807,118.72835889812197,7
2022-08-14,275.0434516222457,105.21059081268325,7
2022-08-21,355.8543091579144,111.52323027490978,7
2022-08-28,460.5019719106233,110.58698545242672,7
2022-09-04,591.6483861054072,115.84812137997314,7
2022-07-17,100.0,100.0,8
2022-07-24,128.84184885607706,109.0081785974074,8
2022-07-31,165.7045542736163,112.60788605610081,8
2022-08-07,213.41921010045596,117.78340613989488,8
2022-08-14,274.43921588297485,124.81330808965345,8
2022-08-21,353.1409790245054,130.38301299347796,8
2022-08-28,455.66038449530055,138.46921791863775,8
2022-09-04,589.1173133134357,144.23343394217494,8
2022-07-17,100.0,100.0,9
2022-07-24,127.89851267495507,104.41595542659148,9
2022-07-31,163.5358702745587,112.28969594969907,9
2022-08-07,209.7285191540828,118.18225404628602,9
2022-08-14,268.463501891281,118.88683960116767,9
2022-08-21,344.1588015202456,132.31024843886817,9
2022-08-28,439.76346162207574,139.1973947588323,9
2022-09-04,562.7350784356973,140.19109533038437,9
2022-07-17,100.0,100.0,10
2022-07-24,127.95000554627909,103.15881926276633,10
2022-07-31,163.74335476563488,104.9096976040629,10
2022-08-07,208.5766032295779,121.63175873613483,10
2022-08-14,266.4428529512555,125.76034736895474,10
2022-08-21,339.55677789790013,136.42680009553797,10
2022-08-28,433.1714107457339,141.64512431697383,10
2022-09-04,552.5952750790597,144.5094403514119,10
2022-07-17,100.0,100.0,11
2022-07-24,130.19321105745402,107.66061599130607,11
2022-07-31,169.24369107879883,107.66604391773281,11
2022-08-07,220.17389547874552,113.01371682883013,11
2022-08-14,287.24350553402184,120.15014943831348,11
2022-08-21,376.152699972658,131.5767613847934,11
2022-08-28,493.4303126178959,130.84057133256678,11
2022-09-04,644.8598668992972,128.4176003009321,11
2022-07-17,100.0,100.0,12
2022-07-24,131.69670945945637,107.87799546672466,12
2022-07-31,172.92935914384586,113.2327594867848,12
2022-08-07,226.9399488729349,117.90823312865986,12
2022-08-14,295.9515105956669,136.39357637753463,12
2022-08-21,384.7464789178372,144.82631265151963,12
2022-08-28,502.5726884189643,164.23723198242809,12
2022-09-04,651.9696710113185,163.8691691833041,12
2022-07-17,100.0,100.0,13
2022-07-24,130.40438578790784,105.3494403574413,13
2022-07-31,169.37854990385654,104.87638644459861,13
2022-08-07,220.8637752837887,111.86359661723957,13
2022-08-14,289.07299553167684,125.18738595210061,13
2022-08-21,377.5041812575645,126.22712514150649,13
2022-08-28,492.5356254589011,130.36824151317583,13
2022-09-04,643.6293329238564,135.80923035882378,13
2022-07-17,100.0,100.0,14
2022-07-24,129.7317514529397,105.36063228014716,14
2022-07-31,168.57944885985538,103.91733464217761,14
2022-08-07,218.70107159560314,110.8392847156725,14
2022-08-14,283.72473062732354,116.29561346278876,14
2022-08-21,369.5589068091784,122.71902713146676,14
2022-08-28,479.90223330761756,121.94570786015902,14
2022-09-04,624.6592768463012,122.14104305280028,14
2022-07-17,100.0,100.0,15
2022-07-24,130.84623057279197,103.06540382924618,15
2022-07-31,170.77316006274603,107.44521372090392,15
2022-08-07,223.45024277214372,118.0220637568866,15
2022-08-14,292.3762198731026,121.71436502615217,15
2022-08-21,382.5632627951731,131.31802777108282,15
2022-08-28,500.8963854845223,138.98789593793558,15
2022-09-04,655.8318934188701,147.7828286066507,15
2022-07-17,100.0,100.0,16
2022-07-24,132.74118042740105,106.70740694323442,16
2022-07-31,176.1719078339336,109.25298637448037,16
2022-08-07,233.81245375335902,112.52079465500312,16
2022-08-14,309.6728915831204,113.6629289804881,16
2022-08-21,411.29907081606206,115.22583749198488,16
2022-08-28,545.4977807837336,118.09990243351263,16
2022-09-04,725.4373946277404,121.0935472077375,16
2022-07-17,100.0,100.0,17
2022-07-24,133.12838960937273,100.66625132872595,17
2022-07-31,177.8991183995159,101.11440340072342,17
2022-08-07,236.49318758776184,106.21912955660441,17
2022-08-14,314.5675487284364,109.97055717239314,17
2022-08-21,418.90518432167676,111.56206430507562,17
2022-08-28,558.4283136842887,113.28287403797137,17
2022-09-04,742.6451600227681,113.13644563836678,17
2022-07-17,100.0,100.0,18
2022-07-24,134.04390391661772,101.28122993068543,18
2022-07-31,179.20328566601907,101.13102770587084,18
2022-08-21,238.39140017897833,99.79709673990408,18
2022-08-28,314.7601284340554,96.683843782929,18
2022-09-04,419.5624291930602,95.91533335866687,18
2022-07-17,100.0,100.0,19
2022-07-24,133.1778668918835,99.40127548410148,19
2022-07-31,176.75975040761526,100.51067210429225,19
2022-08-07,236.00248830139194,106.08925230020292,19
2022-08-14,314.79416400076946,101.43982466800787,19
2022-08-21,418.8555918462921,104.40431837535323,19
2022-08-28,558.9792134630876,100.2710204533561,19
2022-09-04,746.1466256426978,102.19281797225702,19
2022-07-17,100.0,100.0,20
2022-07-24,133.01005352394054,107.8981818445966,20
2022-07-31,177.240967161015,111.3338558616505,20
2022-08-07,235.99256551237562,116.24938223411641,20
2022-08-14,314.5172590129563,115.06518764419171,20
2022-08-21,418.77301868342414,119.88142782022781,20
2022-08-28,557.9212616499382,120.26015362642859,20
2022-09-04,741.6108023971112,126.86210634389315,20
2022-07-17,100.0,100.0,21
2022-07-24,135.1658953944802,104.66563546617652,21
2022-07-31,182.69819277791566,114.24013337282064,21
2022-08-07,245.8996651193719,124.16323730383864,21
2022-08-14,332.0653784500715,123.2618609417627,21
2022-08-21,450.0285057931781,130.1880028906757,21
2022-08-28,607.7230158771741,129.7597532842041,21
2022-09-04,823.6109468799988,129.81189490954412,21
2022-07-17,100.0,100.0,22
2022-07-24,136.98318996923751,107.66772229660366,22
2022-07-31,188.07302856793967,111.50789831223071,22
2022-08-07,256.8925151132142,117.29900689419715,22
2022-08-14,349.32336302724684,118.22393802401199,22
2022-08-21,474.97998936270614,125.75177206324786,22
2022-08-28,642.0360417052509,131.1151050207175,22
2022-09-04,872.9856188744179,131.55478073325014,22
2022-07-17,100.0,100.0,23
2022-07-24,137.07141371149234,108.91132694460303,23
2022-07-31,186.41908735721245,113.1488935103389,23
2022-08-07,259.66695318216875,118.13603274475055,23
2022-08-14,351.15546884643976,131.25466626932928,23
2022-08-21,481.7424692976617,139.35618972908773,23
2022-08-28,658.4180854187315,143.3833128019421,23
2022-09-04,924.3873636312297,151.72681850962948,23
2022-07-17,100.0,100.0,24
2022-07-24,139.01848308401824,99.83037984747207,24
2022-07-31,195.48456349503334,104.49411670913477,24
2022-08-07,264.4433606802977,107.08651395622246,24
2022-08-14,370.6898941037964,116.58767584025524,24
2022-08-21,513.9675441253944,121.33513041028081,24
2022-08-28,719.5676220552872,124.83275911679421,24
2022-09-04,986.152480942179,124.41970499300797,24
2022-07-17,100.0,100.0,25
2022-07-24,138.97057626412212,100.26337721386243,25
2022-07-31,193.12821067182185,106.40137030167855,25
2022-08-07,268.3913872992186,106.53994783924267,25
2022-08-14,371.0441435716079,106.27644656826408,25
2022-08-21,513.300408705168,114.91768100775425,25
2022-08-28,710.0969362855446,118.26463935934297,25
2022-09-04,982.3441602045232,127.94468309729554,25
