,ticker,port_num,fun_queue,prc_queue,pred
0,TRGYO.IS,1,worst,worst,0.2049425752983131
1,VESBE.IS,1,worst,worst,0.2763212756504616
2,TTKOM.IS,2,worst,bad,0.2712415832686921
3,SISE.IS,2,worst,bad,0.2637875123833083
4,VERUS.IS,2,worst,bad,0.2485285788606031
5,ISGYO.IS,3,worst,medium,0.275763326294528
6,TCELL.IS,3,worst,medium,0.2664184640648231
7,ULKER.IS,3,worst,medium,0.2196104595712129
8,VESTL.IS,3,worst,medium,0.2723420782934506
9,YATAS.IS,3,worst,medium,0.2428594453120569
10,RTALB.IS,4,worst,good,0.2767186678836676
11,TURSG.IS,4,worst,good,0.2618824188849784
12,GARAN.IS,5,worst,perfect,0.2443276822476031
13,HALKB.IS,5,worst,perfect,0.234964347873116
14,ISCTR.IS,5,worst,perfect,0.248041733075807
15,VAKBN.IS,5,worst,perfect,0.2245081087294008
16,YKBNK.IS,5,worst,perfect,0.2286740923630728
17,KOZAA.IS,6,bad,worst,0.3172368054755282
18,NTHOL.IS,6,bad,worst,0.3212061795330735
19,TTRAK.IS,6,bad,worst,0.2974503557867909
20,KARSN.IS,7,bad,bad,0.3089210295074506
21,OYAKC.IS,7,bad,bad,0.3092042585596479
22,SARKY.IS,7,bad,bad,0.3235624195662203
23,OTKAR.IS,8,bad,medium,0.2999036811115225
24,PARSN.IS,8,bad,medium,0.3120734910159491
25,SASA.IS,8,bad,medium,0.309803077479392
26,SELEC.IS,8,bad,medium,0.3039324919409173
27,TAVHL.IS,8,bad,medium,0.2876389298062467
28,PETKM.IS,9,bad,good,0.3223245179750273
29,TKNSA.IS,9,bad,good,0.317936322119372
30,SKBNK.IS,10,bad,perfect,0.2821512952238667
31,TKFEN.IS,10,bad,perfect,0.2806782132729915
32,THYAO.IS,10,bad,perfect,0.2912329193296569
33,IPEKE.IS,11,medium,worst,0.3380211396192552
34,ISDMR.IS,11,medium,worst,0.3572882154266026
35,KRDMD.IS,11,medium,worst,0.3623760820144031
36,KORDS.IS,11,medium,worst,0.3288115029304356
37,KOZAL.IS,11,medium,worst,0.3523220201756582
38,QUAGR.IS,11,medium,worst,0.3376180843939479
39,GOZDE.IS,12,medium,bad,0.3454961266499387
40,KCHOL.IS,12,medium,bad,0.3413431039382483
41,LOGO.IS,12,medium,bad,0.3455890210128532
42,SAHOL.IS,13,medium,medium,0.3473947596771871
43,HEKTS.IS,13,medium,medium,0.3351238323180285
44,SOKM.IS,13,medium,medium,0.3370000665770444
45,MAVI.IS,14,medium,good,0.3392228134545622
46,TOASO.IS,14,medium,good,0.3268281348719729
47,ISFIN.IS,15,medium,perfect,0.3334801040837814
48,KERVT.IS,15,medium,perfect,0.3527484872538141
49,ODAS.IS,15,medium,perfect,0.3402080308947776
50,EREGL.IS,16,good,worst,0.3715868788802768
51,ERBOS.IS,17,good,bad,0.4023190453175362
52,INDES.IS,17,good,bad,0.3970082139091619
53,IZMDC.IS,17,good,bad,0.3653869110743286
54,ALGYO.IS,18,good,medium,0.3627627326087059
55,GLYHO.IS,18,good,medium,0.3756314441416588
56,TUPRS.IS,18,good,medium,0.3672304881105834
57,ADESE.IS,19,good,good,0.3932898573007742
58,AKBNK.IS,19,good,good,0.3846337668207768
59,CIMSA.IS,19,good,good,0.3768986705177901
60,DOHOL.IS,19,good,good,0.3787693869592849
61,DOAS.IS,19,good,good,0.3969762409719227
62,ISMEN.IS,19,good,good,0.4012124207199928
63,AYDEM.IS,20,good,perfect,0.3987194317060502
64,EKGYO.IS,20,good,perfect,0.3679529815392091
65,GUBRF.IS,20,good,perfect,0.3837337267472462
66,AKSA.IS,21,perfect,worst,0.430562262906386
67,ARCLK.IS,21,perfect,worst,0.4865675213216193
68,BRISA.IS,21,perfect,worst,0.4034767463664768
69,CEMAS.IS,21,perfect,worst,0.4313130136515767
70,ENKAI.IS,21,perfect,worst,0.4682944204328589
71,ASELS.IS,22,perfect,bad,0.4087860334571676
72,BRYAT.IS,22,perfect,bad,0.4081803325676329
73,ENJSA.IS,22,perfect,bad,0.4360272281753727
74,FROTO.IS,22,perfect,bad,0.4104573591206015
75,AKSEN.IS,23,perfect,medium,0.4344597213394116
76,AEFES.IS,24,perfect,good,0.418036251134887
77,BERA.IS,24,perfect,good,0.402500662092599
78,BIMAS.IS,24,perfect,good,0.4306945095347104
79,EGEEN.IS,24,perfect,good,0.4282264039348618
80,AGHOL.IS,25,perfect,perfect,0.4370579812922701
81,ALARK.IS,25,perfect,perfect,0.5057689490503793
82,CANTE.IS,25,perfect,perfect,0.4212972876530048
